Fn,CCDE,DE
F1,0.0000e+00 (0.0000e+00) +,3.9483e+09 (1.3904e+09)
F3,8.2834e-01 (2.2667e+00) +,1.7860e+04 (4.5503e+03)
F4,4.7387e+01 (3.2031e+01) +,8.3336e+01 (1.9427e+01)
F5,2.4919e+02 (5.5639e+01) -,2.4415e+02 (1.8333e+01)
F6,6.5255e+01 (1.7934e+01) -,2.4852e+01 (5.6856e+00)
F7,4.3890e+02 (2.3717e+02) -,2.8784e+02 (1.4361e+01)
F8,1.8606e+02 (1.0071e+01) +,2.3051e+02 (1.4208e+01)
F9,4.4323e+03 (7.6176e+02) -,5.2893e+02 (1.6443e+02)
F10,4.1996e+03 (2.3789e+02) +,5.6928e+03 (4.5735e+02)
F11,7.7754e+01 (2.7698e+01) +,2.1447e+02 (4.9078e+01)
F12,1.8926e+04 (1.8002e+04) +,1.1692e+09 (3.1219e+08)
F13,1.6500e+04 (1.5378e+04) +,2.0964e+08 (8.1053e+07)
F14,2.1062e+02 (8.3994e+01) +,7.1761e+03 (2.7254e+03)
F15,3.9370e+02 (8.6859e+02) +,3.5370e+06 (1.6409e+06)
F16,3.6754e+02 (2.3034e+02) +,2.4589e+03 (2.1677e+02)
F17,7.8597e+01 (5.7334e+01) +,1.1428e+03 (2.5115e+02)
F18,9.1406e+03 (8.5595e+03) +,1.8092e+05 (6.9155e+04)
F19,4.9487e+01 (3.8300e+01) +,3.8127e+03 (2.0874e+03)
F20,3.4376e+02 (2.6961e+02) =,2.2056e+02 (1.2247e+02)
F21,2.3519e+02 (7.0564e+01) +,4.5686e+02 (1.4712e+01)
F22,1.2509e+03 (2.1342e+03) +,1.6764e+02 (1.1731e+01)
F23,6.2688e+02 (4.8656e+02) +,6.1634e+02 (2.0113e+01)
F24,5.2234e+02 (2.9534e+01) +,7.0270e+02 (1.3731e+01)
F25,3.8161e+02 (1.0748e+01) +,4.0399e+02 (6.6045e+00)
F26,4.7664e+02 (4.9834e+02) +,2.9460e+03 (8.8830e+02)
F27,1.0318e+03 (1.2156e+03) +,5.0001e+02 (5.9529e-05)
F28,3.6391e+02 (8.2313e+01) +,5.0000e+02 (1.9894e-02)
F29,4.2260e+02 (1.0031e+02) +,1.7033e+03 (1.5814e+02)
F30,3.0077e+02 (7.5771e+01) +,1.4687e+06 (1.3399e+06)
w/t/l,24/1/4,
